Run;LibraryLayout;treatment
SRR17382349;PAIRED;cold
SRR17382350;PAIRED;control
SRR17382351;PAIRED;control
SRR17382352;PAIRED;control
SRR17382353;PAIRED;cold
SRR17382354;PAIRED;cold
SRR17382355;PAIRED;control
SRR17382356;PAIRED;control
SRR17382357;PAIRED;control
SRR17382358;PAIRED;cold
SRR17382359;PAIRED;cold
SRR17382360;PAIRED;control
SRR17382361;PAIRED;cold
SRR17382362;PAIRED;control
SRR17382363;PAIRED;cold
SRR17382364;PAIRED;control
SRR17382365;PAIRED;control
SRR17382366;PAIRED;cold
SRR17382367;PAIRED;cold
SRR17382368;PAIRED;cold
SRR17382369;PAIRED;control
SRR17382370;PAIRED;control
SRR17382371;PAIRED;cold
SRR17382372;PAIRED;cold
